ID_CLIENT;DATE_ENTREE;NOM;PAYS;SEXE;AGE;MEMBRE_ACTIF
15759480;2010-06-01 00:00:00;H?;France;F;40;Yes
15736578;2019-01-01 00:00:00;Hamilton;France;H;39;Yes
15661198;2018-02-01 00:00:00;Howard;Allemagne;H;34;Yes
15610653;2015-06-01 00:00:00;Belov;Espagne;F;38;Yes
15722632;2018-03-01 00:00:00;Dickson;Allemagne;H;50;Yes
15579345;2020-04-01 00:00:00;Murphy;Allemagne;F;74;Yes
15602811;2020-03-01 00:00:00;Chioke;Allemagne;H;38;No
15697686;2014-05-01 00:00:00;Stewart;France;F;40;Yes
15687946;2018-05-01 00:00:00;Osborne;France;F;61;Yes
15730657;2016-06-01 00:00:00;Ibekwe;France;F;41;Yes
15688210;2012-03-01 00:00:00;Sims;France;F;39;No
15614782;2019-01-01 00:00:00;Hao;France;H;36;No
15596962;2016-06-01 00:00:00;Owens;France;F;24;Yes
15623647;2019-06-01 00:00:00;Dellucci;Espagne;F;36;No
15713596;2019-01-01 00:00:00;Ugochukwu;France;F;62;Yes
15674368;2019-04-01 00:00:00;Riley;France;F;39;Yes
15619889;2016-06-01 00:00:00;Vasin;France;H;26;No
15790267;2013-02-01 00:00:00;Onuoha;France;F;40;Yes
15782364;2017-05-01 00:00:00;Bevan;Espagne;F;39;No
15803908;2011-02-01 00:00:00;Fu;France;H;45;Yes
15768072;2018-02-01 00:00:00;Mitchell;Espagne;F;33;No
15760521;2019-03-01 00:00:00;Thompson;France;F;50;Yes
15624428;2013-04-01 00:00:00;Longo;Allemagne;F;24;Yes
15701741;2017-03-01 00:00:00;Williams;France;F;39;No
15602043;2015-01-01 00:00:00;Buccho;Allemagne;F;46;No
15632439;2016-03-01 00:00:00;Pinto;France;F;39;Yes
15577905;2012-04-01 00:00:00;Hammond;France;H;34;Yes
15677243;2015-06-01 00:00:00;Wan;Espagne;H;43;No
15745533;2019-06-01 00:00:00;Sargent;France;F;63;No
15567114;2019-02-01 00:00:00;McGarry;France;H;35;No
15758073;2013-04-01 00:00:00;Dellucci;France;F;20;No
15786035;2011-04-01 00:00:00;Gosnell;France;H;39;No
15599792;2019-06-01 00:00:00;Dimauro;France;F;26;Yes
15749727;2013-06-01 00:00:00;Chukwufumnanya;Espagne;H;50;Yes
15722535;2013-01-01 00:00:00;Ireland;France;F;33;Yes
15687270;2012-03-01 00:00:00;Iroawuchi;Espagne;F;61;Yes
15713250;2012-04-01 00:00:00;Izmailova;France;H;111;Yes
15753888;2012-04-01 00:00:00;Johnston;Espagne;F;62;Yes
15631267;2014-03-01 00:00:00;Lu;France;H;50;Yes
15719991;2019-04-01 00:00:00;Korovina;Espagne;F;52;No
15572547;2011-04-01 00:00:00;Vaguine;France;F;45;No
15712877;2019-02-01 00:00:00;Morley;Espagne;H;36;No
15650454;2015-01-01 00:00:00;Tran;France;H;57;Yes
15714431;2019-06-01 00:00:00;Yeh;France;H;37;Yes
15783398;2013-02-01 00:00:00;Rizzo;Espagne;F;49;No
15667002;2015-01-01 00:00:00;Knight;Espagne;H;43;No
15656912;2016-01-01 00:00:00;Aitken;Espagne;H;51;Yes
15743016;2013-02-01 00:00:00;MacDonald;Espagne;F;22;No
15717138;2014-02-01 00:00:00;Watson;Espagne;H;31;No
15787756;2010-03-01 00:00:00;Nkemdirim;Allemagne;H;51;No
15680772;2018-02-01 00:00:00;Hu;Espagne;F;36;Yes
15626233;2017-04-01 00:00:00;Onyekachi;France;F;32;Yes
15665177;2017-03-01 00:00:00;Booth;France;H;44;Yes
15570134;2014-03-01 00:00:00;Padovano;France;F;35;Yes
15610711;2012-02-01 00:00:00;Eluemuno;Allemagne;F;40;No
15685476;2015-01-01 00:00:00;Tseng;France;H;31;Yes
15712568;2010-01-01 00:00:00;Angelo;Espagne;H;40;No
15567893;2017-02-01 00:00:00;Lei;Allemagne;H;33;No
15628319;2016-02-01 00:00:00;Walker;France;F;28;No
15654025;2016-05-01 00:00:00;Jones;France;F;51;No
15626985;2020-01-01 00:00:00;Yefremova;France;F;39;No
15746461;2018-01-01 00:00:00;Taylor;Espagne;H;35;No
15717935;2017-06-01 00:00:00;McDonald;France;F;21;Yes
15688984;2016-04-01 00:00:00;Belonwu;France;H;20;No
15590011;2011-06-01 00:00:00;Hughes;Espagne;H;38;Yes
15659175;2011-03-01 00:00:00;Severson;France;F;43;No
15673578;2013-01-01 00:00:00;Page;Allemagne;F;40;No
15592389;2018-01-01 00:00:00;H?;France;H;27;Yes
15757541;2011-05-01 00:00:00;Rickard;France;F;33;No
15785576;2011-01-01 00:00:00;Mayrhofer;Allemagne;H;71;No
15770225;2011-06-01 00:00:00;Padovesi;France;H;36;Yes
15759133;2014-06-01 00:00:00;Vaguine;France;H;18;Yes
15626212;2011-02-01 00:00:00;Wark;France;H;29;Yes
15608804;2012-06-01 00:00:00;Allan;Allemagne;H;49;Yes
15682728;2016-05-01 00:00:00;Mathews;France;F;32;No
15690546;2018-01-01 00:00:00;Riley;France;F;42;No
15808023;2011-01-01 00:00:00;Remington;France;F;29;Yes
15576824;2017-05-01 00:00:00;Kennedy;Allemagne;F;44;Yes
15636736;2013-01-01 00:00:00;McLachlan;France;F;53;Yes
15792102;2017-06-01 00:00:00;Yefremova;France;F;42;No
15621353;2013-02-01 00:00:00;Hudson;Espagne;F;37;No
15780056;2016-06-01 00:00:00;Reid;Espagne;H;33;No
15743871;2017-02-01 00:00:00;Nkemdirim;France;H;59;No
15762418;2017-06-01 00:00:00;Gant;Espagne;H;22;No
15808389;2013-03-01 00:00:00;Iheatu;France;F;79;Yes
15618437;2010-05-01 00:00:00;Singleton;Espagne;H;34;Yes
15730810;2011-04-01 00:00:00;Storey;Espagne;H;44;Yes
15633729;2010-01-01 00:00:00;Wang;France;H;43;Yes
15603082;2011-04-01 00:00:00;Yashina;France;H;51;No
15667215;2018-03-01 00:00:00;Chandler;France;H;31;Yes
15731555;2011-03-01 00:00:00;Ross-Watt;Allemagne;F;45;No
15728912;2014-02-01 00:00:00;Swanson;France;F;44;No
15662063;2013-01-01 00:00:00;McIver;France;H;36;Yes
15720671;2012-05-01 00:00:00;Ibezimako;France;H;42;Yes
15592999;2020-01-01 00:00:00;Reid;France;F;40;Yes
15761717;2010-05-01 00:00:00;Ch'ien;France;H;26;No
15774738;2017-04-01 00:00:00;Campa;France;H;44;No
15585198;2016-04-01 00:00:00;Bergamaschi;France;H;41;Yes
15694160;2020-03-01 00:00:00;Sagese;France;H;115;No
15641004;2010-03-01 00:00:00;Doyne;Espagne;F;48;Yes
15716276;2018-05-01 00:00:00;Kennedy;France;F;34;No
15591985;2012-05-01 00:00:00;Stewart;France;F;51;Yes
15644200;2019-04-01 00:00:00;Hamilton;Espagne;F;42;No
15738018;2015-02-01 00:00:00;Johnston;France;H;40;No
15603925;2016-06-01 00:00:00;Greco;Espagne;F;26;Yes
15770375;2012-04-01 00:00:00;Fanucci;Allemagne;F;26;No
15573112;2015-02-01 00:00:00;Kang;Espagne;H;107;No
15790355;2015-03-01 00:00:00;Okechukwu;Allemagne;H;36;No
15728012;2017-04-01 00:00:00;Everett;Espagne;F;40;No
15576714;2012-01-01 00:00:00;Manna;Espagne;F;21;Yes
15748123;2017-05-01 00:00:00;Chienezie;France;H;20;Yes
15607395;2011-06-01 00:00:00;Holt;France;F;33;No
15756871;2017-01-01 00:00:00;Capon;Espagne;H;39;No
15813645;2020-02-01 00:00:00;Hamilton;France;F;36;Yes
15746012;2020-01-01 00:00:00;Chibugo;Espagne;F;28;Yes
15680736;2014-01-01 00:00:00;Milne;Allemagne;F;72;Yes
15729454;2012-01-01 00:00:00;Gorbunov;France;H;33;No
15595937;2019-06-01 00:00:00;Bruno;Allemagne;H;36;No
15715877;2018-06-01 00:00:00;Lo;France;H;28;No
15571869;2016-01-01 00:00:00;Lei;Allemagne;F;50;No
15648032;2018-05-01 00:00:00;Young;Espagne;H;37;Yes
15778005;2019-02-01 00:00:00;Kemp;France;F;39;No
15609083;2014-04-01 00:00:00;Tretiakova;France;F;26;No
15606435;2018-04-01 00:00:00;Wall;Allemagne;H;69;Yes
15724536;2019-02-01 00:00:00;Chin;Espagne;F;28;Yes
15762134;2012-01-01 00:00:00;Liang;Allemagne;H;59;Yes
15644280;2016-01-01 00:00:00;Udegbunam;France;H;45;No
15569571;2014-02-01 00:00:00;Davydova;Allemagne;F;46;No
15736601;2016-03-01 00:00:00;Tai;France;H;35;No
15801436;2016-02-01 00:00:00;K'ung;France;H;42;No
15800268;2014-04-01 00:00:00;Costa;Allemagne;H;37;Yes
15624347;2016-01-01 00:00:00;Fokine;France;H;40;Yes
15804853;2020-06-01 00:00:00;McVey;France;F;48;No
15776558;2019-06-01 00:00:00;Nicholls;France;H;31;Yes
15647838;2018-05-01 00:00:00;Davison;Allemagne;F;51;No
15654409;2015-05-01 00:00:00;Unwin;France;F;34;Yes
15688689;2012-03-01 00:00:00;Esposito;Allemagne;F;37;Yes
15802593;2013-02-01 00:00:00;Little;France;F;49;Yes
15709604;2018-01-01 00:00:00;McMillan;France;H;23;No
15635364;2011-05-01 00:00:00;Gray;France;F;49;Yes
15658148;2013-04-01 00:00:00;Udokamma;France;H;38;No
15603851;2013-02-01 00:00:00;Galkin;France;H;32;No
15661670;2012-05-01 00:00:00;Chidozie;Allemagne;F;31;No
15762091;2014-05-01 00:00:00;Simpson;Allemagne;F;22;Yes
15632575;2011-06-01 00:00:00;Moore;France;F;70;Yes
15574584;2012-02-01 00:00:00;Fang;France;H;33;Yes
15715541;2011-06-01 00:00:00;Yang;France;F;42;Yes
15807568;2018-04-01 00:00:00;Wright;France;H;50;No
15768137;2014-01-01 00:00:00;Bray;Espagne;F;23;No
15636700;2011-04-01 00:00:00;Marsh;France;H;39;Yes
15779496;2020-05-01 00:00:00;Sykes;France;H;64;Yes
15706463;2011-04-01 00:00:00;Yang;France;F;36;Yes
15720662;2019-04-01 00:00:00;Sholes;France;F;35;Yes
15772996;2020-06-01 00:00:00;Rooke;Allemagne;H;40;Yes
15582849;2019-03-01 00:00:00;McIntosh;France;F;51;Yes
15574004;2014-01-01 00:00:00;Mancini;France;F;27;Yes
15814268;2015-03-01 00:00:00;Franklin;France;F;40;No
15776844;2014-02-01 00:00:00;Hao;Espagne;F;19;No
15610936;2014-05-01 00:00:00;Becher;France;H;33;No
15791958;2014-04-01 00:00:00;Mazzi;France;F;41;Yes
15664083;2018-04-01 00:00:00;Ulyanova;Allemagne;F;37;Yes
15716085;2012-06-01 00:00:00;Norris;Espagne;F;41;No
15790442;2018-01-01 00:00:00;Wright;Espagne;H;33;Yes
15684512;2012-02-01 00:00:00;Gibson;Allemagne;F;72;Yes
15796764;2017-01-01 00:00:00;Bruno;Allemagne;F;56;Yes
15684461;2014-04-01 00:00:00;McKay;Espagne;F;31;No
15809178;2011-01-01 00:00:00;Pan;Allemagne;F;42;No
15707110;2018-06-01 00:00:00;Endrizzi;Allemagne;H;28;No
15578073;2012-05-01 00:00:00;Barker;Espagne;H;100;No
15569878;2017-05-01 00:00:00;Dale;France;H;37;Yes
15631305;2016-06-01 00:00:00;Franklin;Espagne;F;28;No
15673584;2015-02-01 00:00:00;Bell;France;F;74;Yes
15603942;2017-05-01 00:00:00;Hawthorn;Allemagne;H;50;Yes
15654611;2011-01-01 00:00:00;Parry;Allemagne;F;25;No
15782531;2012-01-01 00:00:00;Chou;Espagne;F;31;No
15570859;2018-01-01 00:00:00;Froggatt;Allemagne;H;36;Yes
15608595;2017-02-01 00:00:00;Lo Duca;France;F;39;Yes
15776156;2016-04-01 00:00:00;Dolgorukova;France;H;27;Yes
15627385;2015-01-01 00:00:00;Uwaezuoke;France;H;34;Yes
15641794;2015-03-01 00:00:00;Ridley;France;H;111;Yes
15673570;2011-02-01 00:00:00;Olsen;France;H;37;Yes
15654222;2017-04-01 00:00:00;Ogg;Espagne;H;30;Yes
15756848;2010-03-01 00:00:00;Edmondson;Espagne;H;42;Yes
15583073;2018-05-01 00:00:00;Martin;Espagne;F;56;Yes
15788930;2013-04-01 00:00:00;Silva;Espagne;H;37;No
15649024;2011-03-01 00:00:00;Trujillo;France;F;39;Yes
15664772;2019-02-01 00:00:00;Greece;Allemagne;H;28;Yes
15784092;2013-05-01 00:00:00;Henderson;France;H;36;Yes
15798844;2013-04-01 00:00:00;Chijindum;France;H;54;No
15710543;2019-02-01 00:00:00;Okwuoma;France;H;46;Yes
15705739;2015-03-01 00:00:00;Toscani;Allemagne;H;32;No
15584505;2015-05-01 00:00:00;Hill;France;F;23;No
15600911;2018-01-01 00:00:00;Mbadiwe;France;H;33;No
15741417;2013-05-01 00:00:00;Chibuzo;Espagne;F;35;Yes
15648030;2015-04-01 00:00:00;Crump;Espagne;F;33;No
15742442;2015-03-01 00:00:00;Udegbulam;Espagne;F;46;Yes
15574910;2018-05-01 00:00:00;Ferguson;France;H;50;No
15612193;2010-06-01 00:00:00;Hsia;Espagne;H;29;No
15662532;2012-01-01 00:00:00;Holmes;Allemagne;H;31;Yes
15574167;2018-05-01 00:00:00;Fox;France;H;33;Yes
15681196;2019-02-01 00:00:00;Chikere;France;H;35;Yes
15666252;2011-01-01 00:00:00;Ritchie;Espagne;H;42;Yes
15799357;2015-03-01 00:00:00;Armfield;France;H;35;No
15586752;2012-06-01 00:00:00;Parkes;Allemagne;H;33;Yes
15583850;2020-05-01 00:00:00;Davidson;Allemagne;H;68;Yes
15603088;2011-04-01 00:00:00;Rossi;Espagne;F;23;Yes
15576124;2019-03-01 00:00:00;Muravyova;France;H;41;No
15760244;2015-04-01 00:00:00;Ives;France;F;76;Yes
15777743;2017-03-01 00:00:00;Cattaneo;France;F;39;Yes
15712772;2017-06-01 00:00:00;Onwubiko;France;H;28;Yes
15670354;2014-04-01 00:00:00;Jen;France;F;62;Yes
15605673;2012-01-01 00:00:00;Liang;Espagne;F;29;No
15702968;2017-02-01 00:00:00;Artemieva;Allemagne;H;74;Yes
15719309;2019-01-01 00:00:00;Stephens;France;F;42;Yes
15728082;2014-01-01 00:00:00;Vasiliev;Espagne;H;28;No
15577274;2017-05-01 00:00:00;Genovese;Allemagne;F;43;No
15686963;2017-06-01 00:00:00;Hardiman;Espagne;F;30;No
15643188;2013-01-01 00:00:00;Barnett;Allemagne;F;47;No
15670602;2013-03-01 00:00:00;Burgess;Allemagne;H;24;Yes
15661936;2017-04-01 00:00:00;Chikelu;France;H;40;No
15636423;2013-02-01 00:00:00;Lei;France;H;40;Yes
15624781;2019-06-01 00:00:00;Mbanefo;France;F;34;Yes
15739857;2017-01-01 00:00:00;Trentino;France;F;40;Yes
15632472;2019-04-01 00:00:00;Scott;Espagne;F;32;Yes
15649086;2013-02-01 00:00:00;Patterson;France;H;42;Yes
15776233;2012-01-01 00:00:00;Kruglova;Allemagne;F;61;No
15586504;2011-06-01 00:00:00;Trevisani;France;H;40;No
15593094;2011-04-01 00:00:00;Goddard;France;H;27;No
15805463;2018-05-01 00:00:00;Board;Allemagne;H;32;Yes
15760456;2010-04-01 00:00:00;Eberechukwu;France;F;38;No
15754177;2018-03-01 00:00:00;Bazarova;Espagne;H;53;No
15727919;2014-01-01 00:00:00;Chukwuemeka;Espagne;F;29;No
15811389;2020-01-01 00:00:00;Padovano;Allemagne;F;35;Yes
15650322;2017-01-01 00:00:00;Grigoryeva;France;F;34;Yes
15766272;2020-01-01 00:00:00;Folliero;Allemagne;F;61;Yes
15679991;2013-03-01 00:00:00;Kennedy;France;F;28;Yes
15586522;2018-04-01 00:00:00;Hunter;Espagne;H;37;No
15572792;2012-04-01 00:00:00;Bellucci;Espagne;H;35;Yes
15646859;2013-02-01 00:00:00;Heydon;Allemagne;H;47;Yes
15671915;2015-02-01 00:00:00;Bowen;France;H;46;Yes
15657468;2015-03-01 00:00:00;Simmons;Allemagne;F;53;No
15756167;2015-02-01 00:00:00;Doyne;Espagne;F;43;Yes
15730759;2011-04-01 00:00:00;Chukwudi;France;F;27;No
15780989;2018-02-01 00:00:00;Hajek;Espagne;H;43;Yes
15718057;2018-06-01 00:00:00;Onyinyechukwuka;France;F;51;No
15592773;2020-03-01 00:00:00;Eberegbulam;Allemagne;F;51;No
15683544;2017-02-01 00:00:00;Buccho;Espagne;H;62;Yes
15747795;2016-04-01 00:00:00;Pai;Allemagne;F;38;Yes
15670416;2020-05-01 00:00:00;Ferri;France;F;43;Yes
15700749;2014-03-01 00:00:00;Powell;France;F;117;Yes
15761102;2016-03-01 00:00:00;T'ao;Espagne;F;32;No
15791988;2016-01-01 00:00:00;Chinomso;France;H;68;Yes
15626806;2018-06-01 00:00:00;Labrador;France;F;32;Yes
15645835;2011-04-01 00:00:00;Milani;France;H;32;Yes
15583138;2018-03-01 00:00:00;Persse;France;H;42;No
15692406;2015-02-01 00:00:00;Gow;France;H;37;Yes
15653222;2014-03-01 00:00:00;Otutodilichukwu;Allemagne;F;32;Yes
15640454;2020-04-01 00:00:00;Parkhill;Allemagne;H;40;No
15804017;2016-03-01 00:00:00;Chigolum;Allemagne;F;33;No
15790067;2017-06-01 00:00:00;Sun;Espagne;H;39;No
15674541;2012-03-01 00:00:00;Robinson;Espagne;H;52;No
15722072;2015-02-01 00:00:00;Hou;France;H;53;Yes
15621611;2015-01-01 00:00:00;Gibson;Allemagne;H;55;Yes
15624793;2015-04-01 00:00:00;Soubeiran;Allemagne;H;23;No
15588456;2015-02-01 00:00:00;Hsieh;France;F;40;Yes
15636812;2011-06-01 00:00:00;Rose;France;H;40;No
15689152;2017-06-01 00:00:00;Loggia;Espagne;H;38;No
15679810;2014-06-01 00:00:00;Chapman;France;H;39;No
15775905;2014-02-01 00:00:00;Moore;Allemagne;F;47;Yes
15745452;2019-05-01 00:00:00;Sun;Allemagne;H;41;No
15685243;2010-05-01 00:00:00;Jamieson;France;F;63;Yes
15800736;2016-05-01 00:00:00;Kirwan;Espagne;F;42;Yes
15799626;2016-04-01 00:00:00;Donaghy;Allemagne;H;50;Yes
15793424;2012-05-01 00:00:00;Tan;Espagne;F;28;No
15666652;2017-02-01 00:00:00;Anayolisa;France;F;19;Yes
15776433;2018-01-01 00:00:00;Greco;Espagne;H;62;Yes
15692918;2010-06-01 00:00:00;Hsing;Allemagne;H;36;Yes
15698758;2019-02-01 00:00:00;Onwuamaegbu;Espagne;F;31;Yes
15766066;2019-06-01 00:00:00;Nikitina;Allemagne;F;28;No
15623196;2014-01-01 00:00:00;Morley;France;H;38;Yes
15766906;2016-01-01 00:00:00;Salier;France;F;25;No
15579109;2015-03-01 00:00:00;Napolitano;Allemagne;H;35;Yes
15715208;2010-05-01 00:00:00;Watkins;Allemagne;F;33;Yes
15725024;2017-05-01 00:00:00;Pope;Allemagne;F;33;Yes
15758639;2013-06-01 00:00:00;Moran;France;H;37;No
15687372;2012-03-01 00:00:00;Padovesi;Allemagne;H;49;No
15812198;2019-01-01 00:00:00;Chen;Allemagne;H;48;No
15654489;2012-04-01 00:00:00;Fomin;France;F;38;Yes
15599289;2010-05-01 00:00:00;Yeh;France;F;37;No
15642162;2019-04-01 00:00:00;Ponce;Allemagne;H;35;No
15596992;2013-06-01 00:00:00;Norris;Allemagne;H;45;No
15617301;2011-06-01 00:00:00;Chamberlin;Allemagne;H;36;No
15615207;2020-01-01 00:00:00;Yeh;Espagne;H;47;Yes
15720284;2016-02-01 00:00:00;Crawford;Allemagne;F;37;No
15723827;2016-04-01 00:00:00;Macartney;France;H;30;No
15614847;2014-03-01 00:00:00;Townsend;France;F;45;Yes
15649129;2011-03-01 00:00:00;Sal;France;H;32;No
15586848;2019-02-01 00:00:00;Rose;France;H;38;No
15638788;2012-02-01 00:00:00;Mack;France;H;32;Yes
15710390;2014-06-01 00:00:00;Uspensky;France;F;39;Yes
15681007;2018-06-01 00:00:00;Yen;France;F;35;No
15794257;2016-04-01 00:00:00;Hsiung;France;H;34;Yes
15688713;2014-02-01 00:00:00;McCall;Espagne;H;44;Yes
15674206;2012-05-01 00:00:00;Walker;France;F;22;Yes
15773934;2014-01-01 00:00:00;Fang;France;H;33;No
15733966;2016-05-01 00:00:00;Johnstone;Allemagne;F;55;Yes
15812365;2012-03-01 00:00:00;Greco;France;H;40;No
15638963;2016-05-01 00:00:00;Garran;France;F;22;Yes
15746199;2014-02-01 00:00:00;Eluemuno;France;F;41;Yes
15707473;2014-01-01 00:00:00;Summers;Allemagne;F;48;No
15770309;2010-04-01 00:00:00;McDonald;France;H;18;Yes
15720203;2013-06-01 00:00:00;Arcuri;Espagne;H;28;No
15736126;2020-05-01 00:00:00;Sung;Allemagne;H;55;Yes
15566689;2012-05-01 00:00:00;Chimaoke;Espagne;H;66;Yes
15572361;2018-01-01 00:00:00;Chill;Allemagne;F;34;No
15586174;2016-04-01 00:00:00;Brodney;Allemagne;F;30;Yes
15804950;2013-03-01 00:00:00;Onyemauchechukwu;France;F;41;Yes
15618243;2019-06-01 00:00:00;Buckland;Espagne;F;43;Yes
15679048;2018-06-01 00:00:00;Koger;Allemagne;H;41;Yes
15774586;2010-02-01 00:00:00;West;Allemagne;F;43;Yes
15611644;2020-02-01 00:00:00;Onyemauchechukwu;France;H;73;Yes
15704788;2012-04-01 00:00:00;Krawczyk;Espagne;F;49;No
15674880;2018-05-01 00:00:00;Archer;Espagne;H;50;No
15666453;2016-04-01 00:00:00;Moore;Allemagne;F;29;Yes
15608968;2014-05-01 00:00:00;Averyanov;Allemagne;H;21;No
15661723;2016-02-01 00:00:00;Abramovich;Espagne;H;71;Yes
15665760;2013-01-01 00:00:00;Kazantsev;Espagne;H;38;Yes
15595158;2015-06-01 00:00:00;Hsu;Allemagne;H;31;Yes
15723028;2019-01-01 00:00:00;Smith;France;H;33;No
15624975;2019-01-01 00:00:00;Angelo;Espagne;H;28;Yes
15585067;2011-05-01 00:00:00;Wilson;Espagne;H;31;Yes
15711750;2014-01-01 00:00:00;Watson;France;F;34;Yes
15703682;2010-03-01 00:00:00;Kalinina;Espagne;H;33;No
15575498;2015-04-01 00:00:00;Gould;France;F;39;No
15676242;2017-04-01 00:00:00;Artemova;Espagne;H;31;No
15734161;2014-05-01 00:00:00;Nnonso;France;H;43;No
15749265;2019-03-01 00:00:00;Carslaw;Allemagne;H;42;Yes
15766887;2018-06-01 00:00:00;Iadanza;Espagne;H;39;Yes
15695475;2019-01-01 00:00:00;Maclean;France;H;29;Yes
15713594;2013-05-01 00:00:00;French;France;F;32;No
15672447;2013-03-01 00:00:00;Bailey;Allemagne;H;40;Yes
15586993;2015-02-01 00:00:00;Giordano;Espagne;F;56;Yes
15608956;2019-06-01 00:00:00;Su;France;H;33;No
15716328;2018-02-01 00:00:00;Miller;France;F;40;No
15684516;2019-01-01 00:00:00;Plascencia;Espagne;H;34;No
15658972;2012-03-01 00:00:00;Foster;France;F;40;No
15587596;2012-03-01 00:00:00;Morrison;Espagne;F;39;No
15771569;2016-05-01 00:00:00;Bage;Allemagne;H;46;Yes
15609458;2010-02-01 00:00:00;Vincent;France;H;30;Yes
15793883;2017-02-01 00:00:00;Lo Duca;France;H;28;No
15599024;2012-01-01 00:00:00;Hope;Espagne;H;32;Yes
15780572;2016-06-01 00:00:00;Mansom;Espagne;H;30;No
15571928;2016-02-01 00:00:00;Fraser;France;F;43;No
15750755;2012-02-01 00:00:00;Yobachi;Espagne;F;33;No
15640034;2018-03-01 00:00:00;Milligan;France;H;42;No
15790322;2020-05-01 00:00:00;Beneventi;France;F;32;No
15599090;2013-06-01 00:00:00;McKelvey;Allemagne;H;40;Yes
15565701;2011-02-01 00:00:00;Ferri;Espagne;F;39;No
15631721;2011-03-01 00:00:00;Millar;Allemagne;H;38;Yes
15635893;2012-01-01 00:00:00;T'ien;France;F;28;Yes
15812945;2020-04-01 00:00:00;Padovesi;France;F;29;Yes
15805449;2016-05-01 00:00:00;Ugochukwu;France;H;38;No
15780088;2011-06-01 00:00:00;Porter;Espagne;H;34;No
15571415;2014-01-01 00:00:00;Okwudiliolisa;Allemagne;H;56;No
15735400;2012-01-01 00:00:00;Kanayochukwu;France;H;28;No
15655574;2012-05-01 00:00:00;Okeke;Allemagne;F;40;No
15732643;2019-04-01 00:00:00;Pike;Espagne;F;53;Yes
15759733;2015-05-01 00:00:00;McMillan;France;F;26;Yes
15713608;2015-03-01 00:00:00;Tuan;France;F;41;Yes
15570299;2014-05-01 00:00:00;Martin;Allemagne;F;31;No
15730488;2019-06-01 00:00:00;Richmond;Espagne;F;27;Yes
15720745;2016-01-01 00:00:00;Murray;Espagne;H;24;Yes
15579112;2018-06-01 00:00:00;Gibson;France;H;47;Yes
15722479;2019-06-01 00:00:00;Ikenna;France;H;37;Yes
15577313;2017-03-01 00:00:00;Lionel;France;H;44;No
15738907;2014-06-01 00:00:00;Tobenna;France;F;60;No
15591747;2017-01-01 00:00:00;Rossi;France;H;32;No
15685279;2012-02-01 00:00:00;Somadina;Espagne;F;57;Yes
15765402;2014-03-01 00:00:00;H?;France;F;39;No
15694530;2016-04-01 00:00:00;Porter;France;H;28;Yes
15587712;2012-04-01 00:00:00;Chimaijem;France;H;36;No
15664432;2013-03-01 00:00:00;Chao;Espagne;F;49;No
15671655;2013-06-01 00:00:00;Thorpe;Allemagne;H;31;Yes
15713379;2016-01-01 00:00:00;Anderson;France;H;26;Yes
15747208;2014-05-01 00:00:00;Watt;France;H;50;No
15793478;2012-01-01 00:00:00;Li Fonti;Allemagne;F;39;No
15601383;2015-02-01 00:00:00;Ibrahimova;Espagne;H;44;No
15709523;2020-04-01 00:00:00;Yao;Allemagne;F;30;Yes
15772262;2011-01-01 00:00:00;Vavilov;Allemagne;H;37;Yes
